Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Siedlungsdichte in km²;Studierende je 100 Einwohner 18 bis 25 Jahre;Gesamtwanderungssaldo;Haushalte mit hohem Einkommen;Erreichbarkeit von Oberzentren;Bevölkerung gesamt
;;;2013;2016;2016;2013;2013;2021;2013
"010010000";"Flensburg. Stadt";"verbandsfreie Gemeinde";"42.59";"2941.86";"89.90";"8.59";"16.05";"0.00";"83971"
"010020000";"Kiel. Landeshauptstadt";"verbandsfreie Gemeinde";"41.43";"3845.24";"124.98";"7.45";"13.26";"0.00";"241533"
"010030000";"Lübeck. Hansestadt";"verbandsfreie Gemeinde";"44.45";"2743.54";"56.29";"10.26";"14.50";"0.00";"212958"
"010040000";"Neumünster. Stadt";"verbandsfreie Gemeinde";"44.12";"2201.71";"0.00";"5.10";"16.72";"0.00";"77058"
"010510011";"Brunsbüttel. Stadt";"verbandsfreie Gemeinde";"45.40";"895.80";"0.00";"2.28";"19.09";"66.63";"12721"
"010510044";"Heide. Stadt";"verbandsfreie Gemeinde";"43.89";"1948.33";"79.06";"13.46";"19.79";"64.00";"21105"
"010515163";"Burg-St Michaelisdonn";"Gemeindeverband";"44.62";"856.85";"0.00";"-4.44";"19.66";"61.01";"15986"
"010515166";"Marne-Nordsee";"Gemeindeverband";"45.69";"798.24";"0.00";"3.71";"19.54";"76.80";"12921"
"010515169";"Eider";"Gemeindeverband";"44.39";"630.12";"0.00";"-1.34";"18.48";"62.77";"18637"
"010515172";"Heider Umland";"Gemeindeverband";"44.61";"783.41";"0.00";"0.32";"19.92";"65.56";"15745"
"010515175";"Mitteldithmarschen";"Gemeindeverband";"44.32";"716.69";"0.00";"1.86";"18.99";"61.24";"23098"
"010515178";"Büsum-Wesselburen";"Gemeindeverband";"49.13";"854.64";"0.00";"10.28";"19.91";"73.99";"12452"
"010530032";"Geesthacht. Stadt";"verbandsfreie Gemeinde";"44.51";"2405.45";"0.00";"11.31";"19.67";"27.93";"29363"
"010530083";"Lauenburg/ Elbe. Stadt";"verbandsfreie Gemeinde";"44.29";"2572.26";"0.00";"12.35";"20.52";"29.88";"11253"
"010530090";"Mölln. Stadt";"verbandsfreie Gemeinde";"46.44";"2457.25";"0.00";"12.37";"20.35";"32.60";"18520"
"010530100";"Ratzeburg. Stadt";"verbandsfreie Gemeinde";"45.76";"2354.62";"0.00";"19.33";"20.33";"27.56";"13866"
"010530116";"Schwarzenbek. Stadt";"verbandsfreie Gemeinde";"41.85";"2878.05";"0.00";"12.70";"19.68";"31.60";"15278"
"010530129";"Wentorf bei Hamburg";"verbandsfreie Gemeinde";"45.04";"2389.25";"0.00";"14.95";"44.11";"22.93";"12104"
"010535308";"Berkenthin";"Gemeindeverband";"42.04";"1082.84";"0.00";"-2.52";"26.23";"22.54";"8348"
"010535313";"Breitenfelde";"Gemeindeverband";"43.32";"695.91";"0.00";"0.63";"22.13";"35.14";"6338"
"010535318";"Büchen";"Gemeindeverband";"44.78";"778.71";"0.00";"3.69";"21.16";"38.51";"13545"
"010535323";"Hohe Elbgeest";"Gemeindeverband";"44.13";"1403.95";"0.00";"5.99";"38.70";"28.34";"19362"
"010535343";"Lütau";"Gemeindeverband";"44.71";"676.88";"0.00";"6.09";"25.62";"34.98";"3942"
"010535358";"Lauenburgische Seen";"Gemeindeverband";"45.46";"766.51";"0.00";"4.68";"25.67";"31.72";"13033"
"010535373";"Schwarzenbek-Land";"Gemeindeverband";"43.73";"705.24";"0.00";"-0.11";"27.24";"32.67";"9091"
"010535391";"Sandesneben-Nusse";"Gemeindeverband";"42.42";"1020.30";"0.00";"2.07";"21.35";"29.49";"15000"
"010539105";"Sachsenwald (Forstgutsbez).gemfrGeb";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"28.11";"0"
"010540033";"Friedrichstadt. Stadt";"verbandsfreie Gemeinde";"47.32";"1576.88";"0.00";"9.66";"14.51";"58.27";"2485"
"010540056";"Husum. Stadt";"verbandsfreie Gemeinde";"45.51";"1779.43";"0.00";"5.53";"18.94";"47.15";"22053"
"010540108";"Reußenköge";"verbandsfreie Gemeinde";"42.91";"163.96";"0.00";"-8.96";"26.67";"47.54";"335"
"010540138";"Tönning. Stadt";"verbandsfreie Gemeinde";"45.78";"1115.70";"0.00";"1.02";"17.84";"64.11";"4887"
"010540168";"Sylt";"verbandsfreie Gemeinde";"47.84";"811.26";"0.00";"-0.67";"19.12";"90.76";"13424"
"010545417";"Eiderstedt";"Gemeindeverband";"47.63";"565.08";"0.00";"4.00";"18.60";"72.08";"11004"
"010545439";"Landschaft Sylt";"Gemeindeverband";"46.75";"531.93";"0.00";"-8.11";"19.05";"104.69";"4314"
"010545453";"Viöl";"Gemeindeverband";"40.67";"601.25";"0.00";"-4.08";"18.44";"33.44";"9074"
"010545459";"Pellworm";"Gemeindeverband";"49.04";"428.57";"0.00";"-12.79";"16.05";"126.44";"1407"
