Kennziffer,Raumeinheit,Aggregat,Gästeübernachtungen in Beherbergungsbetrieben 2013,Kinos 2017,Öffentliche Bäder 2017
01001,"Flensburg, Stadt",Kreise,2.8,2.0,2.0
01002,"Kiel, Landeshauptstadt",Kreise,2.5,6.0,7.0
01003,"Lübeck, Hansestadt",Kreise,6.5,3.0,9.0
01004,"Neumünster, Stadt",Kreise,1.8,3.0,3.0
01051,Dithmarschen,Kreise,9.4,3.0,20.0
01053,Herzogtum Lauenburg,Kreise,3.1,3.0,13.0
01054,Nordfriesland,Kreise,42.1,7.0,38.0
01055,Ostholstein,Kreise,28.5,7.0,20.0
01056,Pinneberg,Kreise,1.9,5.0,13.0
01057,Plön,Kreise,7.5,2.0,7.0
01058,Rendsburg-Eckernförde,Kreise,5.3,4.0,29.0
01059,Schleswig-Flensburg,Kreise,5.0,2.0,23.0
01060,Segeberg,Kreise,2.8,2.0,21.0
01061,Steinburg,Kreise,0.8,1.0,19.0
01062,Stormarn,Kreise,1.6,2.0,9.0
02000,"Hamburg, Freie und Hansestadt",Kreise,6.6,27.0,64.0
03101,"Braunschweig, Stadt",Kreise,2.2,3.0,13.0
03102,"Salzgitter, Stadt",Kreise,1.6,3.0,6.0
03103,"Wolfsburg, Stadt",Kreise,4.0,3.0,9.0
03151,Gifhorn,Kreise,2.4,1.0,14.0
03153,Goslar,Kreise,17.2,2.0,23.0
03154,Helmstedt,Kreise,1.9,2.0,6.0
03155,Northeim,Kreise,3.6,4.0,16.0
03157,Peine,Kreise,0.8,1.0,14.0
03158,Wolfenbüttel,Kreise,1.2,2.0,12.0
03159,Göttingen,Kreise,5.0,3.0,41.0
03241,Region Hannover,Kreise,3.3,12.0,75.0
03251,Diepholz,Kreise,1.2,5.0,30.0
03252,Hameln-Pyrmont,Kreise,8.3,2.0,19.0
03254,Hildesheim,Kreise,2.1,2.0,34.0
03255,Holzminden,Kreise,2.4,1.0,10.0
03256,Nienburg (Weser),Kreise,2.3,2.0,22.0
03257,Schaumburg,Kreise,4.9,4.0,15.0
03351,Celle,Kreise,3.6,2.0,20.0
03352,Cuxhaven,Kreise,11.7,1.0,30.0
03353,Harburg,Kreise,2.7,3.0,30.0
03354,Lüchow-Dannenberg,Kreise,4.9,2.0,11.0
03355,Lüneburg,Kreise,3.3,2.0,12.0
03356,Osterholz,Kreise,1.3,2.0,15.0
03357,Rotenburg (Wümme),Kreise,2.8,2.0,14.0
03358,Heidekreis,Kreise,17.9,3.0,20.0
03359,Stade,Kreise,2.2,1.0,10.0
03360,Uelzen,Kreise,8.4,1.0,11.0
03361,Verden,Kreise,2.3,2.0,10.0
03401,"Delmenhorst, Stadt",Kreise,0.7,1.0,1.0
03402,"Emden, Stadt",Kreise,3.0,3.0,5.0
03403,"Oldenburg (Oldenburg), Stadt",Kreise,1.9,5.0,7.0
03404,"Osnabrück, Stadt",Kreise,2.1,5.0,10.0
03405,"Wilhelmshaven, Stadt",Kreise,3.9,1.0,6.0
03451,Ammerland,Kreise,6.5,0.0,18.0
03452,Aurich,Kreise,19.4,6.0,32.0
03453,Cloppenburg,Kreise,2.3,1.0,17.0
03454,Emsland,Kreise,6.2,5.0,45.0
03455,Friesland,Kreise,20.7,3.0,17.0
03456,Grafschaft Bentheim,Kreise,6.6,1.0,19.0
03457,Leer,Kreise,9.2,1.0,7.0
03458,Oldenburg,Kreise,2.0,1.0,16.0
03459,Osnabrück,Kreise,4.5,3.0,37.0
03460,Vechta,Kreise,2.3,4.0,11.0
03461,Wesermarsch,Kreise,8.3,2.0,11.0
03462,Wittmund,Kreise,42.8,2.0,14.0
04011,"Bremen, Stadt",Kreise,3.1,8.0,25.0
04012,"Bremerhaven, Stadt",Kreise,3.2,2.0,5.0
05111,"Düsseldorf, Stadt",Kreise,7.1,9.0,21.0
05112,"Duisburg, Stadt",Kreise,0.9,2.0,18.0
05113,"Essen, Stadt",Kreise,2.4,6.0,22.0
05114,"Krefeld, Stadt",Kreise,1.0,2.0,13.0
05116,"Mönchengladbach, Stadt",Kreise,0.9,2.0,9.0
05117,"Mülheim an der Ruhr, Stadt",Kreise,0.9,3.0,6.0
05119,"Oberhausen, Stadt",Kreise,2.2,3.0,11.0
05120,"Remscheid, Stadt",Kreise,1.0,0.0,5.0
05122,"Solingen, Klingenstadt",Kreise,0.7,2.0,4.0
05124,"Wuppertal, Stadt",Kreise,1.6,5.0,18.0
05154,Kleve,Kreise,2.9,3.0,20.0
05158,Mettmann,Kreise,1.9,3.0,24.0
05162,Rhein-Kreis Neuss,Kreise,2.1,6.0,24.0
05166,Viersen,Kreise,1.3,1.0,19.0
05170,Wesel,Kreise,1.6,3.0,26.0
