"plz","note","einwohner","qkm","Durchschnittsalter der Bevölkerung","Siedlungsdichte in km²","Studierende je 100 Einwohner 18 bis 25 Jahre","Gesamtwanderungssaldo","Haushalte mit hohem Einkommen","Erreichbarkeit von Oberzentren","Bevölkerung gesamt"
"23552","23552 Lübeck",13074,1.64127,44.45,2743.54,56.29,10.26,14.5,0,212958
"23554","23554 Lübeck St. Lorenz Nord",22351,9.904369,44.45,2743.54,56.29,10.26,14.5,0,212958
"23566","23566 Lübeck",21089,12.819537,44.45,2743.54,56.29,10.26,14.5,0,212958
"23564","23564 Lübeck",19405,6.121261,44.45,2743.54,56.29,10.26,14.5,0,212958
"23570","23570 Lübeck",13817,34.996003,44.45,2743.54,56.29,10.26,14.5,0,212958
"23558","23558 Lübeck",26615,4.849287,44.45,2743.54,56.29,10.26,14.5,0,212958
"23569","23569 Lübeck",17518,30.224718,44.45,2743.54,56.29,10.26,14.5,0,212958
"23562","23562 Lübeck",21558,18.809832,44.45,2743.54,56.29,10.26,14.5,0,212958
"23560","23560 Lübeck",21010,53.292278,44.45,2743.54,56.29,10.26,14.5,0,212958
"23568","23568 Lübeck Schlutup/St. Gertrud",16174,17.76,44.45,2743.54,56.29,10.26,14.5,0,212958
"23556","23556 Lübeck",16972,20.521165,44.45,2743.54,56.29,10.26,14.5,0,212958
"24539","24539 Neumünster",20727,25.172364,44.12,2201.71,0,5.1,16.72,0,77058
"24536","24536 Neumünster",19886,30.392431,44.12,2201.71,0,5.1,16.72,0,77058
"24537","24537 Neumünster",16228,17.028151,44.12,2201.71,0,5.1,16.72,0,77058
"24534","24534 Neumünster",20810,4.218312,44.12,2201.71,0,5.1,16.72,0,77058
"25541","25541 Brunsbüttel",12843,66.199711,45.4,895.8,0,2.28,19.09,66.63,12721
"25746","25746 Heide u.a.",25418,66.234552,43.89,1948.33,79.06,13.46,19.79,64,21105
"25727","25727 Süderhastedt",1774,42.418046,44.62,856.85,0,-4.44,19.66,61.01,15986
"25693","25693 Sankt Michaelisdonn, Gudendorf, Volsemenhusen, Trennewurth",4690,53.818032,44.62,856.85,0,-4.44,19.66,61.01,15986
"25721","25721 Eggstedt",780,12.579539,44.62,856.85,0,-4.44,19.66,61.01,15986
"25715","25715 Eddelak, Averlak, Dingen, Ramhusen",2870,29.846131,44.62,856.85,0,-4.44,19.66,61.01,15986
"25712","25712 Burg (Dithmarschen)",8051,64.939577,44.62,856.85,0,-4.44,19.66,61.01,15986
"25718","25718 Friedrichskoog",2556,51.960073,45.69,798.24,0,3.71,19.54,76.8,12921
"25724","25724 Neufeld, Schmedeswurth",971,25.960048,45.69,798.24,0,3.71,19.54,76.8,12921
"25709","25709 Kronprinzenkoog, Marne u.a.",9029,66.694757,45.69,798.24,0,3.71,19.54,76.8,12921
"25786","25786 Dellstedt",783,21.784484,44.39,630.12,0,-1.34,18.48,62.77,18637
"25791","25791 Linden, Barkenholm",1072,17.268963,44.39,630.12,0,-1.34,18.48,62.77,18637
"25799","25799 Wrohm",692,12.371547,44.39,630.12,0,-1.34,18.48,62.77,18637
"25782","25782 Tellingstedt",4549,74.99459,44.39,630.12,0,-1.34,18.48,62.77,18637
"25794","25794 Pahlen",1998,31.226687,44.39,630.12,0,-1.34,18.48,62.77,18637
"25788","25788 Delve",1081,27.44159,44.39,630.12,0,-1.34,18.48,62.77,18637
"25776","25776 Sankt Annen, Rehm-Flehde-Bargen",936,35.84126,44.39,630.12,0,-1.34,18.48,62.77,18637
"25779","25779 Hennstedt",3896,76.43329,44.39,630.12,0,-1.34,18.48,62.77,18637
"25774","25774 Lunden",4172,68.794399,44.39,630.12,0,-1.34,18.48,62.77,18637
"25797","25797 Wöhrden",1329,21.781458,44.61,783.41,0,0.32,19.92,65.56,15745
"25792","25792 Neuenkirchen",1149,29.900411,44.61,783.41,0,0.32,19.92,65.56,15745
"25795","25795 Weddingstedt",2813,28.123248,44.61,783.41,0,0.32,19.92,65.56,15745
"25770","25770 Hemmingstedt",3330,20.666021,44.61,783.41,0,0.32,19.92,65.56,15745
"25704","25704 Meldorf",11982,125.876672,44.32,716.69,0,1.86,18.99,61.24,23098
"25729","25729 Windbergen",851,17.116323,44.32,716.69,0,1.86,18.99,61.24,23098
"25785","25785 Nordhastedt",3800,51.139779,44.32,716.69,0,1.86,18.99,61.24,23098
"25767","25767 Albersdorf",6206,96.452856,44.32,716.69,0,1.86,18.99,61.24,23098
"25719","25719 Barlt, Busenwurth",1082,32.933581,44.32,716.69,0,1.86,18.99,61.24,23098
"25725","25725 Schafstedt, Weidenhof, Bornholt",1390,22.1246,44.32,716.69,0,1.86,18.99,61.24,23098
"25761","25761 Büsum",6743,44.643603,49.13,854.64,0,10.28,19.91,73.99,12452
"25764","25764 Wesselburen",5782,95.317058,49.13,854.64,0,10.28,19.91,73.99,12452
"21502","21502 Geesthacht",29803,51.054466,44.51,2405.45,0,11.31,19.67,27.93,29363
"23879","23879 Mölln",18473,25.35934,46.44,2457.25,0,12.37,20.35,32.6,18520
"23909","23909 Ratzeburg",14950,69.475231,45.76,2354.62,0,19.33,20.33,27.56,13866
"23919","23919 Berkenthin",3708,39.99424,42.04,1082.84,0,-2.52,26.23,22.54,8348
"23628","23628 Krummesse, Klempau",3229,16.576758,42.04,1082.84,0,-2.52,26.23,22.54,8348
"23881","23881 Breitenfelde, Lankau",5150,73.049772,43.32,695.91,0,0.63,22.13,35.14,6338
"21514","21514 Bröthen",10489,118.948317,44.78,778.71,0,3.69,21.16,38.51,13545
"23899","23899 Gudow",1765,54.843186,44.78,778.71,0,3.69,21.16,38.51,13545
"21529","21529 Kröppelshagen-Fahrendorf",1061,7.248067,44.13,1403.95,0,5.99,38.7,28.34,19362
"21526","21526 Hohenhorn",511,6.8697,44.13,1403.95,0,5.99,38.7,28.34,19362
"21483","21483 Gülzow",4203,77.995229,44.71,676.88,0,6.09,25.62,34.98,3942
"21481","21481 Lauenburg/Elbe",12180,27.837369,44.71,676.88,0,6.09,25.62,34.98,3942
"23627","23627 Groß Grönau",4431,22.315649,45.46,766.51,0,4.68,25.67,31.72,13033
"23883","23883 Sterley",3570,114.196545,45.46,766.51,0,4.68,25.67,31.72,13033
"23911","23911 Ziethen",4517,85.965246,45.46,766.51,0,4.68,25.67,31.72,13033
"21493","21493 Schwarzenbek u.a.",19610,98.154707,43.73,705.24,0,-0.11,27.24,32.67,9091
